DATE,STARTDATE,STARTTIME,ENDDATE,ENDTIME,RESPTI,CPUTI,QUEUETI,TASKTYPE,TABLOAD,DYNPRONR,REPORT,ACCOUNT,MANDT,ROLLINTI,ROLLOUTCNT,ROLLOUTTI,LOCKCNT,LOCKTI,UPDTI,USEDBYTES,TRANSID,TCODE
5/24/2023,5/24/2023,12:03:49 PM,5/24/2023,12:03:51 PM,1541,940,40,FE,0,,RFC,RFC_PIR02OTC,100,332,0,0,0,0,0,20398,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:49 PM,5/24/2023,12:03:51 PM,1551,920,0,FE,0,,RFC,RFC_PIR02OTC,100,161,0,0,0,0,0,20398,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:49 PM,5/24/2023,12:03:51 PM,1842,1200,31,FE,0,,RFC,RFC_PIR02OTC,100,139,0,0,0,0,0,20398,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:49 PM,5/24/2023,12:03:51 PM,1894,1220,70,FE,0,,RFC,RFC_PIR02OTC,100,178,0,0,0,0,0,20398,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:49 PM,5/24/2023,12:03:51 PM,1957,1260,43,FE,0,,RFC,RFC_PIR02OTC,100,182,0,0,0,0,0,20398,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:51 PM,5/24/2023,12:03:53 PM,1265,760,66,FE,0,,RFC,RFC_PIR02OTC,100,359,0,0,0,0,0,16303,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:51 PM,5/24/2023,12:03:53 PM,1311,760,59,FE,0,,RFC,RFC_PIR02OTC,100,182,0,0,0,0,0,16303,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:51 PM,5/24/2023,12:03:53 PM,1322,750,59,FE,0,,RFC,RFC_PIR02OTC,100,332,0,0,0,0,0,16303,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:03:51 PM,5/24/2023,12:03:53 PM,1331,840,75,FE,0,,RFC,RFC_PIR02OTC,100,139,0,0,0,0,0,16303,049a414ffa2b11eda1b60000080356c8,
5/24/2023,5/24/2023,12:04:49 PM,5/24/2023,12:04:51 PM,1688,1010,49,FE,0,,RFC,RFC_PIR02OTC,100,99,0,0,0,0,0,53119,2cfb5498fa2b11edbcde0000084ad96c,
5/24/2023,5/24/2023,12:04:50 PM,5/24/2023,12:04:51 PM,1642,990,40,FE,0,,RFC,RFC_PIR02OTC,100,178,0,0,0,0,0,53119,2cfb5498fa2b11edbcde0000084ad96c,
5/24/2023,5/24/2023,12:04:49 PM,5/24/2023,12:04:51 PM,1714,1000,46,FE,0,,RFC,RFC_PIR02OTC,100,332,0,0,0,0,0,53119,2cfb5498fa2b11edbcde0000084ad96c,
5/24/2023,5/24/2023,12:04:49 PM,5/24/2023,12:04:51 PM,1760,1020,66,FE,0,,RFC,RFC_PIR02OTC,100,121,0,0,0,0,0,53119,2cfb5498fa2b11edbcde0000084ad96c,
